Z,m_B,Err_m_B,Ef,D_L,D_L_Low,D_L_Hi,Err_D_L
0.3970,40.8900,0.3000,0.7158,1506.6071,1312.1999,1729.8164,208.8082
0.4000,42.0400,0.1900,0.7143,2558.5859,2344.2288,2792.5438,224.1575
0.4160,42.1000,0.1900,0.7062,2630.2680,2409.9054,2870.7806,230.4376
0.4200,41.7600,0.2300,0.7042,2249.0546,2023.0192,2500.3454,238.6631
0.4250,41.7000,0.4000,0.7018,2187.7616,1819.7009,2630.2680,405.2836
0.4300,42.3300,0.3400,0.6993,2924.1524,2500.3454,3419.7944,459.7245
0.4300,41.9900,0.1800,0.6993,2500.3454,2301.4418,2716.4393,207.4987
0.4300,42.3600,0.2500,0.6993,2964.8314,2642.4088,3326.5955,342.0934
0.4400,42.5700,0.4000,0.6944,3265.8783,2716.4393,3926.4494,605.0050
0.4400,42.0800,0.1900,0.6944,2606.1535,2387.8113,2844.4611,228.3249
0.4500,42.1300,0.2100,0.6897,2666.8587,2421.0290,2937.6497,258.3103
0.4500,42.1000,0.2300,0.6897,2630.2680,2365.9197,2924.1524,279.1163
0.4550,42.2900,0.2800,0.6873,2870.7806,2523.4808,3265.8783,371.1988
0.4600,41.8300,0.4000,0.6849,2322.7368,1931.9683,2792.5438,430.2878
0.4600,42.5600,0.2700,0.6849,3250.8730,2870.7806,3681.2897,405.2546
0.4700,42.7400,0.2300,0.6803,3531.8317,3176.8741,3926.4494,374.7876
0.4700,42.7700,0.2100,0.6803,3580.9644,3250.8730,3944.5730,346.8500
0.4720,42.4600,0.1900,0.6793,3104.5596,2844.4611,3388.4416,271.9902
0.4750,42.1400,0.1900,0.6780,2679.1683,2454.7089,2924.1524,234.7217
0.4770,42.3800,0.2100,0.6770,2992.2646,2716.4393,3296.0971,289.8289
0.4780,42.4800,0.2300,0.6766,3133.2857,2818.3829,3483.3732,332.4951
0.4800,42.3700,0.2000,0.6757,2978.5164,2716.4393,3265.8783,274.7195
0.4900,42.4100,0.2500,0.6711,3033.8912,2703.9584,3404.0819,350.0618
0.4950,42.2500,0.1900,0.6689,2818.3829,2582.2602,3076.0968,246.9183
0.5000,42.7400,0.2000,0.6667,3531.8317,3221.0688,3872.5764,325.7538
0.5000,42.7500,0.1900,0.6667,3548.1339,3250.8730,3872.5764,310.8517
0.5000,42.7500,0.2400,0.6667,3548.1339,3176.8741,3962.7803,392.9531
0.5080,41.6400,0.3500,0.6631,2128.1390,1811.3401,2500.3454,344.5026
0.5180,42.8300,0.3000,0.6588,3681.2897,3206.2693,4226.6861,510.2084
0.5260,42.5600,0.1800,0.6553,3250.8730,2992.2646,3531.8317,269.7835
0.5260,43.0100,0.2700,0.6553,3999.4475,3531.8317,4528.9758,498.5721
0.5280,42.7700,0.2500,0.6545,3580.9644,3191.5379,4017.9081,413.1851
0.5380,42.6600,0.1800,0.6502,3404.0819,3133.2857,3698.2818,282.4980
0.5400,41.9600,0.4100,0.6494,2466.0393,2041.7379,2978.5164,468.3892
0.5430,42.6800,0.1900,0.6481,3435.5795,3147.7483,3749.7300,300.9909
0.5700,42.8100,0.2500,0.6369,3647.5395,3250.8730,4092.6066,420.8668
0.5700,42.8800,0.3100,0.6369,3767.0380,3265.8783,4345.1022,539.6120
0.5790,42.8600,0.1900,0.6333,3732.5016,3419.7944,4073.8028,327.0042
0.5800,43.0400,0.2100,0.6329,4055.0854,3681.2897,4466.8359,392.7731
0.5810,42.6300,0.1900,0.6325,3357.3761,3076.0968,3664.3757,294.1395
0.6150,42.8500,0.2300,0.6192,3715.3523,3341.9504,4130.4750,394.2623
0.6200,43.1100,0.3000,0.6173,4187.9357,3647.5395,4808.3935,580.4270
0.6300,42.6200,0.2400,0.6135,3341.9504,2992.2646,3732.5016,370.1185
0.6400,43.0700,0.2100,0.6098,4111.4972,3732.5016,4528.9758,398.2371
0.6570,43.2700,0.2000,0.6035,4508.1670,4111.4972,4943.1069,415.8048
0.6700,43.1900,0.2800,0.5988,4345.1022,3819.4427,4943.1069,561.8321
0.7100,43.0500,0.3200,0.5848,4073.8028,3515.6044,4720.6304,602.5130
