z,mag,sigma,Exp_fact,D_L,D_L_low,D_L_high,err_D_L
0.43,42.36,0.25,0.6993,2964.83,2642.408757,3326.595533,342.09
0.44,42.57,0.4,0.6944,3265.88,2716.439269,3926.449354,605.01
0.44,42.08,0.19,0.6944,2606.15,2387.811283,2844.461107,228.32
0.45,42.13,0.21,0.6897,2666.86,2421.029047,2937.649652,258.31
0.45,42.1,0.23,0.6897,2630.27,2365.919697,2924.152378,279.12
0.455,42.29,0.28,0.6873,2870.78,2523.480772,3265.878322,371.2
0.46,41.83,0.4,0.6849,2322.74,1931.968317,2792.543841,430.29
0.46,42.56,0.27,0.6849,3250.87,2870.780582,3681.289736,405.25
0.47,42.74,0.23,0.6803,3531.83,3176.874071,3926.449354,374.79
0.47,42.77,0.21,0.6803,3580.96,3250.872974,3944.573021,346.85
0.472,42.46,0.19,0.6793,3104.56,2844.461107,3388.441561,271.99
0.475,42.14,0.19,0.678,2679.17,2454.708916,2924.152378,234.72
0.477,42.38,0.21,0.677,2992.26,2716.439269,3296.097122,289.83
0.478,42.48,0.23,0.6766,3133.29,2818.382931,3483.37315,332.5
0.48,42.37,0.2,0.6757,2978.52,2716.439269,3265.878322,274.72
0.49,42.41,0.25,0.6711,3033.89,2703.958364,3404.081897,350.06
0.495,42.25,0.19,0.6689,2818.38,2582.260191,3076.096815,246.92
0.5,42.74,0.2,0.6667,3531.83,3221.068791,3872.576449,325.75
0.5,42.75,0.19,0.6667,3548.13,3250.872974,3872.576449,310.85
0.5,42.75,0.24,0.6667,3548.13,3176.874071,3962.780343,392.95
0.508,41.64,0.35,0.6631,2128.14,1811.340093,2500.345362,344.5
0.518,42.83,0.3,0.6588,3681.29,3206.269325,4226.686143,510.21
0.526,42.56,0.18,0.6553,3250.87,2992.264637,3531.831698,269.78
0.526,43.01,0.27,0.6553,3999.45,3531.831698,4528.975799,498.57
0.528,42.77,0.25,0.6545,3580.96,3191.537855,4017.908108,413.19
0.538,42.66,0.18,0.6502,3404.08,3133.285724,3698.281798,282.5
0.54,41.96,0.41,0.6494,2466.04,2041.737945,2978.516429,468.39
0.543,42.68,0.19,0.6481,3435.58,3147.748314,3749.730022,300.99
0.57,42.81,0.25,0.6369,3647.54,3250.872974,4092.606597,420.87
0.57,42.88,0.31,0.6369,3767.04,3265.878322,4345.102242,539.61
0.579,42.86,0.19,0.6333,3732.5,3419.794425,4073.802778,327
0.58,43.04,0.21,0.6329,4055.09,3681.289736,4466.835922,392.77
0.581,42.63,0.19,0.6325,3357.38,3076.096815,3664.375746,294.14
0.615,42.85,0.23,0.6192,3715.35,3341.9504,4130.47502,394.26
0.62,43.11,0.3,0.6173,4187.94,3647.539469,4808.393484,580.43
0.63,42.62,0.24,0.6135,3341.95,2992.264637,3732.501578,370.12
0.64,43.07,0.21,0.6098,4111.5,3732.501578,4528.975799,398.24
0.657,43.27,0.2,0.6035,4508.17,4111.497211,4943.10687,415.8
0.67,43.19,0.28,0.5988,4345.1,3819.442708,4943.10687,561.83
0.71,43.05,0.32,0.5848,4073.8,3515.604405,4720.630413,602.51
0.735,43.09,0.19,0.5764,4149.54,3801.893963,4528.975799,363.54
0.74,43.35,0.3,0.5747,4677.35,4073.802778,5370.317964,648.26
0.771,43.12,0.17,0.5647,4207.27,3890.45145,4549.880602,329.71
0.778,43.81,0.35,0.5624,5780.96,4920.395357,6792.036326,935.82
0.798,43.88,0.31,0.5562,5970.35,5176.06832,6886.522963,855.23
0.811,43.97,0.35,0.5522,6223,5296.634439,7311.390835,1007.38
0.815,43.76,0.33,0.551,5649.37,4852.885002,6576.578374,861.85
0.815,44.09,0.28,0.551,6576.58,5780.960474,7481.695005,850.37
0.828,43.96,0.46,0.547,6194.41,5011.872336,7655.966069,1322.05
0.828,43.61,0.61,0.547,5272.3,3981.071706,6982.324041,1500.63
0.83,43.85,0.19,0.5464,5888.44,5395.106225,6426.877173,515.89
0.832,43.55,0.29,0.5459,5128.61,4487.453899,5861.381645,686.96
0.839,43.86,0.22,0.5438,5915.62,5345.643594,6546.361741,600.36
0.86,44.03,0.3,0.5376,6397.35,5571.857489,7345.138682,886.64
0.873,43.75,0.38,0.5339,5623.41,4720.630413,6698.846094,989.11
0.882,43.9,0.3,0.5313,6025.6,5248.074602,6918.309709,835.12
0.884,44.23,0.19,0.5308,7014.55,6426.877173,7655.966069,614.54
0.886,42.91,0.81,0.5302,3819.44,2630.267992,5546.25713,1457.99
0.899,43.64,0.25,0.5266,5345.64,4764.309868,5997.910763,616.8
0.94,43.87,0.2,0.5155,5942.92,5420.008904,6516.283941,548.14
0.949,43.99,0.25,0.5131,6280.58,5597.576015,7046.93069,724.68
0.95,44.06,0.26,0.5128,6486.34,5754.399373,7311.390835,778.5
0.954,44.28,0.31,0.5118,7177.94,6223.002852,8279.421637,1028.21
0.977,43.91,0.26,0.5058,6053.41,5370.317964,6823.386941,726.53
1.056,44.25,0.23,0.4864,7079.46,6367.955209,7870.457897,751.25
1.14,44.84,0.3,0.4673,9289.66,8090.958992,10665.96121,1287.5
1.19,44.19,0.34,0.4566,6886.52,5888.436554,8053.784412,1082.67
1.265,45.2,0.2,0.4415,10964.78,10000,12022.64435,1011.32
1.3,45.27,0.19,0.4348,11324,10375.28416,12359.47433,992.1
1.305,44.7,0.22,0.4338,8709.64,7870.457897,9638.290236,883.92
1.34,45.05,0.25,0.4274,10232.93,9120.108394,11481.53621,1180.71
1.551,45.3,0.22,0.392,11481.54,10375.28416,12705.74105,1165.23
1.755,45.53,0.35,0.363,12764.39,10864.25624,14996.84836,2066.3
