z,dist_mag,mag_ERR
0.0165,34.4137,0.3464
0.0165,33.9999,0.3347
0.0166,34.1608,0.2181
0.0166,33.9726,0.4153
0.0166,34.2793,0.2619
0.0167,34.3408,0.1980
0.0167,33.8985,0.2454
0.0168,34.1679,0.2465
0.0168,34.4649,0.3583
0.0168,34.5341,0.3416
0.0168,33.9673,0.2844
0.0169,33.8410,0.2893
0.0169,33.8975,0.2646
0.0169,34.4894,0.3103
0.0170,34.3409,0.2284
0.0170,34.0755,0.2978
0.0171,34.1973,0.2145
0.0172,34.0220,0.3090
0.0172,34.2003,0.3253
0.0172,34.6084,0.2198
0.0173,34.1436,0.2827
0.0173,34.1517,0.2571
0.0173,34.4009,0.2217
0.0173,34.5101,0.2312
0.0173,34.3610,0.2203
0.0174,34.3100,0.2636
0.0174,34.2669,0.2624
0.0174,33.7799,0.3306
0.0175,34.3228,0.2002
0.0175,34.3133,0.1978
0.0175,34.1465,0.2314
0.0178,34.2221,0.3204
0.0178,34.3364,0.2101
0.0178,34.2464,0.2134
0.0178,34.2939,0.2466
0.0178,34.2418,0.2229
0.0179,34.2975,0.3189
0.0180,34.2661,0.2342
0.0181,34.6078,0.2015
0.0183,34.9792,0.2185
0.0183,34.2005,0.2806
0.0184,34.4393,0.2269
0.0186,34.4920,0.2554
0.0186,34.5760,0.2962
0.0187,34.6171,0.2390
0.0187,34.5716,0.2400
0.0187,34.6066,0.2775
0.0188,34.5466,0.2155
0.0188,34.4866,0.3210
0.0191,34.4286,0.2814
0.0195,34.7747,0.1954
0.0195,34.8085,0.1955
0.0198,34.7570,0.4666
0.0198,34.7394,0.4335
0.0198,34.6865,0.4062
0.0200,34.3648,0.2957
0.0200,34.6854,0.2043
0.0201,34.5121,0.1995
0.0202,34.5072,0.2339
0.0202,34.7020,0.1925
0.0202,34.5995,0.1883
0.0202,34.5012,0.2956
0.0202,34.5760,0.1899
0.0202,34.6482,0.1878
0.0202,34.9988,0.1877
0.0203,34.8165,0.2418
0.0203,34.5749,0.3758
0.0204,34.5709,0.1877
0.0204,34.5656,0.1777
0.0204,34.4931,0.1908
0.0204,34.6552,0.2146
0.0205,35.1263,0.3758
0.0205,34.5560,0.3339
0.0206,34.4168,0.2172
0.0206,34.5647,0.2495
0.0208,34.4863,0.3304
0.0208,34.6740,0.2309
0.0208,34.6349,0.2545
0.0209,34.8118,0.3002
0.0210,34.6956,0.2165
0.0211,34.6693,0.2307
0.0212,34.3750,0.2031
0.0212,34.8194,0.1964
0.0212,35.1180,0.3107
0.0212,35.2056,0.3041
0.0213,34.7561,0.1806
0.0213,34.7344,0.1772
0.0213,34.7419,0.1878
0.0213,34.7627,0.3400
0.0214,34.3468,0.1990
0.0215,34.5899,0.1992
0.0215,34.6114,0.3933
0.0217,34.7709,0.1959
0.0218,34.7583,0.2834
0.0218,34.7742,0.2536
0.0220,34.8589,0.2464
0.0220,34.9654,0.2170
0.0220,34.6739,0.2478
0.0221,34.7477,0.1991
0.0221,34.8847,0.1860
0.0222,35.0481,0.2886
0.0222,35.0136,0.2162
0.0223,34.8059,0.1802
0.0223,34.8234,0.2581
0.0223,34.9245,0.1698
0.0223,34.7727,0.1990
0.0223,34.8704,0.2045
0.0224,34.7814,0.2247
0.0224,34.7714,0.3027
0.0224,34.8603,0.2431
0.0224,34.7590,0.2887
0.0224,34.7997,0.2553
0.0224,35.0392,0.2145
0.0226,34.7306,0.2431
0.0227,34.8438,0.2205
0.0227,34.8693,0.2033
0.0227,34.6849,0.3583
0.0230,35.2685,0.3049
0.0230,34.8584,0.2013
0.0230,34.9992,0.2674
0.0230,34.9712,0.2373
0.0230,34.9850,0.1907
0.0231,34.7666,0.3403
0.0231,35.0225,0.2712
0.0232,34.8830,0.2750
0.0232,34.9168,0.1785
0.0233,35.0537,0.2297
0.0233,34.6478,0.2670
0.0233,34.4301,0.2794
0.0234,34.9851,0.2826
0.0234,35.0081,0.2217
0.0234,34.9783,0.2254
0.0234,34.8582,0.2603
0.0234,34.8582,0.1706
0.0234,34.8331,0.2638
0.0235,34.8391,0.2159
0.0235,34.9998,0.2177
0.0236,35.0406,0.2066
0.0236,34.9509,0.2591
0.0236,34.5715,0.2617
0.0237,34.9543,0.2740
0.0237,34.9430,0.2098
0.0239,34.9949,0.1808
0.0239,34.8890,0.4037
0.0239,34.9940,0.2774
0.0239,34.8993,0.1903
0.0240,35.1018,0.1950
0.0241,35.1049,0.3103
0.0241,34.4711,0.3985
0.0241,34.8782,0.2241
0.0242,34.9421,0.2083
0.0242,35.0840,0.1836
0.0243,35.1803,0.2323
0.0243,35.0771,0.1954
0.0243,34.9871,0.1841
0.0243,34.9530,0.1981
0.0243,35.2317,0.2352
0.0243,35.0102,0.2019
0.0245,35.0080,0.1620
0.0245,35.0746,0.2100
0.0245,34.9493,0.1709
0.0246,35.1784,0.1891
0.0246,35.1061,0.2356
0.0246,35.0521,0.2313
0.0246,34.8898,0.2340
0.0246,34.9528,0.2138
0.0246,34.8070,0.1825
0.0247,34.8112,0.3176
0.0249,35.0862,0.2405
0.0249,35.1973,0.2285
0.0251,35.2152,0.2685
0.0251,34.8369,0.2880
0.0251,34.8482,0.1819
0.0251,35.0790,0.2060
0.0251,35.0090,0.1769
0.0251,35.0276,0.1902
0.0251,34.4583,0.3333
0.0252,34.9117,0.3065
0.0252,35.1989,0.2383
0.0252,35.2277,0.2044
0.0252,35.1139,0.1553
0.0252,35.1145,0.1748
0.0252,34.9842,0.1853
0.0253,34.9441,0.2407
0.0253,34.9063,0.2691
0.0253,35.1882,0.1767
0.0253,35.1974,0.1859
0.0256,35.1828,0.2337
0.0256,35.0621,0.1902
0.0259,34.7664,0.3447
0.0259,35.1181,0.2002
0.0260,35.4014,0.2005
0.0260,35.2931,0.1795
0.0260,35.1081,0.1982
0.0260,34.8350,0.3483
0.0260,35.3111,0.1787
0.0263,35.2855,0.2889
0.0263,35.3429,0.3232
0.0263,35.0223,0.3723
0.0267,35.3080,0.1796
0.0269,35.2688,0.1834
0.0269,35.2892,0.2059
0.0270,35.1184,0.1814
0.0271,35.2513,0.1868
0.0271,35.3224,0.2161
0.0273,35.2892,0.2989
0.0273,35.2673,0.1724
0.0273,35.3437,0.2308
0.0273,35.1118,0.3466
0.0273,35.2270,0.2616
0.0274,35.3130,0.2201
0.0274,35.3042,0.3529
0.0274,35.5236,0.2253
0.0275,35.1130,0.1727
0.0275,35.1538,0.1869
0.0275,35.1117,0.1703
0.0277,35.3467,0.2899
0.0280,35.7258,0.3217
0.0281,35.1306,0.1848
0.0281,35.6739,0.2164
0.0282,35.3613,0.1906
0.0282,35.3174,0.1734
0.0282,35.2874,0.2929
0.0282,35.5061,0.1631
0.0282,35.5563,0.1602
0.0282,35.5580,0.1610
0.0283,35.2665,0.1775
0.0284,35.3720,0.1603
0.0284,35.3421,0.1565
0.0285,35.1049,0.1817
0.0285,35.4368,0.1803
0.0285,35.2913,0.1782
0.0285,35.3590,0.1802
0.0285,35.1963,0.3666
0.0286,35.5996,0.2350
0.0286,35.6596,0.2514
0.0287,35.3449,0.2114
0.0287,35.4105,0.2019
0.0287,34.9487,0.2277
0.0289,35.2763,0.6551
0.0290,35.4779,0.2754
0.0290,35.0558,0.2187
0.0291,35.5152,0.2508
0.0292,35.6948,0.1833
0.0292,35.2391,0.1858
0.0292,35.6024,0.1700
0.0294,35.6222,0.3000
0.0294,35.4720,0.2258
0.0294,35.2761,0.1809
0.0295,35.0939,0.2727
0.0295,35.6079,0.2242
0.0295,35.3638,0.2837
0.0295,35.4654,0.1779
0.0296,35.5064,0.1909
0.0297,35.2781,0.1941
0.0298,35.5015,0.1904
0.0298,35.5116,0.1908
0.0299,35.4354,0.1853
0.0300,35.8610,0.1925
0.0301,35.5195,0.1961
0.0301,35.4838,0.1993
0.0301,35.4761,0.2335
0.0302,35.5185,0.1660
0.0303,35.5542,0.2163
0.0304,35.4803,0.1738
0.0305,35.5345,0.2582
0.0306,35.3586,0.1645
0.0308,35.3522,0.3432
0.0308,35.6084,0.2127
0.0308,35.4648,0.2787
0.0309,35.4164,0.1848
0.0309,35.4926,0.1665
0.0310,35.6481,0.2067
0.0311,35.9224,0.3993
0.0311,35.4060,0.3321
0.0311,35.3374,0.3753
0.0311,35.5650,0.1837
0.0311,35.6700,0.2368
0.0311,35.5409,0.1849
0.0312,35.5877,0.1691
0.0312,35.5304,0.2836
0.0312,35.6675,0.1745
0.0312,35.4957,0.1760
0.0312,35.5793,0.1487
0.0312,35.4841,0.1538
0.0312,35.7720,0.2242
0.0312,35.7428,0.2268
0.0312,35.7867,0.2167
0.0313,35.6231,0.3209
0.0314,35.6461,0.1962
0.0314,35.5602,0.1856
0.0315,35.9119,0.2739
0.0315,35.7017,0.1643
0.0315,35.7070,0.2206
0.0316,35.6474,0.1942
0.0316,35.6847,0.1881
0.0317,35.7279,0.1781
0.0319,35.4592,0.2761
0.0320,35.4896,0.1487
0.0324,35.6746,0.2021
0.0326,35.5760,0.1968
0.0326,35.8562,0.2588
0.0326,35.8577,0.2946
0.0326,35.8808,0.1900
0.0326,35.6656,0.2745
0.0326,35.9082,0.1982
0.0327,35.6638,0.1560
0.0327,35.6366,0.1699
0.0327,35.6431,0.1484
0.0328,35.6329,0.2040
0.0329,35.8381,0.1787
0.0329,35.7248,0.1536
0.0329,35.7992,0.3260
0.0330,35.7324,0.2202
0.0330,35.8907,0.2257
0.0330,35.6164,0.1680
0.0333,35.6643,0.1509
0.0333,35.7268,0.1626
0.0334,35.8159,0.1990
0.0334,35.8647,0.1510
0.0334,35.8516,0.1436
0.0337,35.7797,0.1597
0.0337,35.8290,0.2737
0.0338,36.0229,0.2430
0.0338,35.8276,0.2591
0.0339,35.9089,0.1772
0.0340,35.7587,0.3130
0.0343,35.9188,0.2074
0.0343,35.9378,0.2113
0.0344,35.7837,0.2171
0.0344,35.8250,0.3406
0.0345,35.9757,0.3581
0.0346,35.7348,0.1557
0.0348,35.8566,0.2058
0.0349,35.9118,0.1656
0.0351,35.8816,0.1693
0.0352,35.8937,0.2117
0.0352,35.8012,0.4833
0.0352,35.8038,0.4821
0.0352,35.8349,0.3342
0.0353,35.8610,0.1686
0.0355,35.9905,0.3748
0.0357,36.2340,0.1885
0.0358,35.9591,0.2252
0.0358,36.1545,0.2303
0.0358,35.9325,0.2042
0.0359,35.5515,0.2043
0.0360,35.9909,0.1872
0.0362,35.8586,0.2235
0.0362,36.1845,0.1872
0.0364,36.0035,0.1853
0.0368,35.9282,0.1566
0.0368,35.8836,0.1851
0.0370,36.0748,0.2893
0.0370,35.8056,0.3082
0.0370,35.9287,0.3185
0.0370,36.0695,0.1750
0.0370,36.0800,0.3368
0.0371,35.9637,0.1666
0.0371,36.0475,0.1663
0.0373,36.0067,0.1352
0.0373,35.9927,0.1492
0.0373,35.8698,0.1897
0.0374,35.9789,0.1637
0.0375,35.9490,0.2626
0.0376,36.3333,0.1712
0.0376,36.2185,0.1713
0.0379,36.0063,0.2067
0.0379,36.0624,0.1630
0.0380,36.0889,0.1989
0.0382,35.8938,0.1517
0.0382,35.8617,0.1527
0.0383,36.1141,0.2362
0.0383,36.5177,0.2458
0.0385,36.2254,0.3112
0.0385,36.2564,0.1500
0.0387,36.0125,0.1704
0.0388,36.0260,0.2195
0.0390,36.0125,0.2047
0.0391,36.1962,0.2208
0.0391,36.2125,0.1835
0.0401,36.2840,0.1479
0.0404,36.5486,0.2346
0.0406,36.0167,0.1435
0.0406,36.0818,0.1450
0.0408,35.9918,0.2105
0.0409,36.1263,0.1688
0.0410,36.4104,0.3072
0.0410,36.0403,0.1472
0.0410,36.3153,0.1508
0.0417,36.5601,0.2801
0.0422,36.2101,0.2080
0.0426,36.5106,0.4265
0.0427,36.2931,0.1510
0.0427,35.9138,0.2945
0.0429,36.2521,0.1755
0.0429,36.2071,0.1665
0.0429,36.2018,0.1625
0.0431,36.2457,0.2071
0.0435,36.4165,0.1661
0.0435,36.2137,0.1522
0.0435,36.2882,0.1666
0.0437,36.2594,0.1778
0.0441,36.3298,0.1812
0.0444,36.5469,0.2312
0.0444,36.2916,0.2491
0.0444,36.5510,0.2705
0.0446,36.5114,0.2863
0.0449,36.4565,0.1623
0.0452,36.6866,0.3049
0.0455,36.4541,0.1963
0.0458,36.4634,0.1735
0.0458,36.5139,0.1519
0.0458,36.1579,0.1828
0.0459,36.3811,0.1960
0.0463,36.2636,0.2181
0.0463,36.5394,0.1592
0.0464,36.3247,0.1950
0.0466,36.5081,0.2096
0.0466,36.4713,0.1941
0.0468,36.4786,0.1482
0.0468,36.4857,0.1829
0.0469,36.7582,0.2807
0.0474,36.5642,0.2291
0.0476,36.6009,0.1617
0.0478,36.5946,0.1454
0.0478,36.5627,0.2088
0.0482,36.4976,0.1659
0.0484,36.3735,0.1547
0.0486,36.3303,0.1358
0.0487,36.6410,0.1815
0.0493,36.5997,0.2027
