z,dist_mag,mag_ERR
0.1852,39.5427,0.1722
0.1853,39.7882,0.1394
0.1867,39.7559,0.1445
0.1873,39.7694,0.1367
0.1881,39.7451,0.1915
0.1891,39.4384,0.1496
0.1891,39.8089,0.2563
0.1893,39.9359,0.2290
0.1893,40.1408,0.2005
0.1895,39.7413,0.2092
0.1895,39.7624,0.2386
0.1900,39.7286,0.2247
0.1903,39.8807,0.1580
0.1904,39.6892,0.2950
0.1904,39.9182,0.1548
0.1941,39.7983,0.2189
0.1943,39.8787,0.2220
0.1955,40.1343,0.4040
0.1955,39.7111,0.1566
0.1956,39.9082,0.1959
0.1957,39.9580,0.2123
0.1962,39.7288,0.1248
0.1962,39.7747,0.1580
0.1963,39.8397,0.2547
0.1964,39.8927,0.2934
0.1973,39.8018,0.1416
0.1974,39.6932,0.1309
0.1978,39.4920,0.1892
0.1982,39.7561,0.1825
0.1983,39.8879,0.1744
0.1986,40.3246,0.2386
0.1988,39.8881,0.2115
0.1988,39.8890,0.1745
0.1991,40.0216,0.2176
0.1995,39.8511,0.2542
0.1996,39.6764,0.2462
0.1997,39.8965,0.1716
0.2008,39.6837,0.1950
0.2008,39.9838,0.2530
0.2009,39.7672,0.3161
0.2013,39.8575,0.2170
0.2023,39.6184,0.1981
0.2025,39.9949,0.1597
0.2028,39.8373,0.1850
0.2032,39.9658,0.1466
0.2033,39.8822,0.1668
0.2033,39.9277,0.1738
0.2033,39.9335,0.2161
0.2038,39.9041,0.1715
0.2047,39.8809,0.1600
0.2048,39.8427,0.2023
0.2052,40.1661,0.2277
0.2056,39.8126,0.1749
0.2069,39.9225,0.2798
0.2075,40.3160,0.3337
0.2075,40.0725,0.1490
0.2084,39.7299,0.2722
0.2086,39.8758,0.1468
0.2087,40.1034,0.2395
0.2087,39.8639,0.1977
0.2088,39.8798,0.1597
0.2095,39.8413,0.2621
0.2102,40.1479,0.1489
0.2104,39.4543,0.1860
0.2108,39.9632,0.2230
0.2110,39.8060,0.1557
0.2111,39.9552,0.1633
0.2113,40.1415,0.2661
0.2117,39.9676,0.2305
0.2120,39.9136,0.1945
0.2123,39.9374,0.2437
0.2135,40.0218,0.1653
0.2137,40.0084,0.1903
0.2140,39.8874,0.1975
0.2144,40.0179,0.2989
0.2151,39.8825,0.4779
0.2152,40.4641,0.2294
0.2158,40.2253,0.2587
0.2165,39.8253,0.1415
0.2169,40.0672,0.1904
0.2169,40.0932,0.1853
0.2174,40.1395,0.2696
0.2179,39.9942,0.1748
0.2185,40.2216,0.2044
0.2188,40.1416,0.2476
0.2190,40.1925,0.2407
0.2190,40.1292,0.2188
0.2190,40.0296,0.1308
0.2194,40.0048,0.2090
0.2195,40.1098,0.1600
0.2197,40.0616,0.1243
0.2198,40.0882,0.1734
0.2199,40.2387,0.2202
0.2202,39.9228,0.2429
0.2207,40.1876,0.2253
0.2208,40.0798,0.2668
0.2213,40.0441,0.1433
0.2213,40.0588,0.2048
0.2215,40.1937,0.1662
0.2230,40.3257,0.2812
0.2235,40.1511,0.1673
0.2239,40.0162,0.1728
0.2245,40.1293,0.1972
0.2245,39.9449,0.2458
0.2249,40.1126,0.1606
0.2254,40.1491,0.1740
0.2254,40.1329,0.1889
0.2255,40.1856,0.1974
0.2258,39.9865,0.1760
0.2265,40.3912,0.2011
0.2273,40.0970,0.2285
0.2282,40.2236,0.1834
0.2287,40.1604,0.3082
0.2293,40.2229,0.2024
0.2298,40.1351,0.1881
0.2302,40.1283,0.2274
0.2304,40.3062,0.2601
0.2308,40.0717,0.2968
0.2309,40.1049,0.2047
0.2309,40.2958,0.2263
0.2313,40.3169,0.1898
0.2316,40.2010,0.2269
0.2316,40.0875,0.2373
0.2321,40.2045,0.1595
0.2328,39.8341,0.1809
0.2337,40.1857,0.2551
0.2338,40.4148,0.1964
0.2339,40.1788,0.2921
0.2340,40.1389,0.2141
0.2347,40.1912,0.3280
0.2348,40.2784,0.1677
0.2349,40.1580,0.1832
0.2352,40.1629,0.2752
0.2356,40.2336,0.2142
0.2364,40.3805,0.1557
0.2366,40.2636,0.1567
0.2366,40.4674,0.1931
0.2369,40.1190,0.2367
0.2369,40.2279,0.2102
0.2372,40.2245,0.2039
0.2375,40.7365,0.3057
0.2379,40.2317,0.1723
0.2395,39.9059,0.2084
0.2398,40.1300,0.1808
0.2402,40.3847,0.2642
0.2409,40.4016,0.1667
0.2412,40.3291,0.1307
0.2415,40.1214,0.1841
0.2416,40.1720,0.2617
0.2422,40.5640,0.2214
0.2428,40.4217,0.2199
0.2428,40.5734,0.2591
0.2433,40.2516,0.1431
0.2435,40.5380,0.3063
0.2441,40.2956,0.2428
0.2444,40.2064,0.2217
0.2446,40.1263,0.1861
0.2451,40.3336,0.2095
0.2452,40.4957,0.1816
0.2455,40.3582,0.2195
0.2459,40.4318,0.1674
0.2462,40.3473,0.1494
0.2465,40.3780,0.1714
0.2466,40.2829,0.2147
0.2466,40.3907,0.1552
0.2471,40.1983,0.1374
0.2485,40.2030,0.1772
0.2486,40.4912,0.2159
0.2486,40.4276,0.1956
0.2486,40.3657,0.2616
0.2487,40.3256,0.1783
0.2490,40.4270,0.1806
0.2491,40.3167,0.1674
0.2497,40.6733,0.2206
0.2498,40.2961,0.2068
0.2499,40.3915,0.1637
0.2502,40.5965,0.2245
0.2502,40.3764,0.2182
0.2504,40.4145,0.1796
0.2505,40.5692,0.1887
0.2506,40.3009,0.1883
0.2509,40.3873,0.2026
0.2520,40.4698,0.2073
0.2526,40.4622,0.1665
0.2526,40.4066,0.2591
0.2533,40.3688,0.1571
0.2536,40.0303,0.2628
0.2541,40.4546,0.1678
0.2562,40.6458,0.1942
0.2562,40.5593,0.2717
0.2564,40.3729,0.2073
0.2568,40.5023,0.2517
0.2573,40.5776,0.2500
0.2574,40.4941,0.1936
0.2577,40.6088,0.2253
0.2581,40.5280,0.2312
0.2586,40.4663,0.2093
0.2587,40.5100,0.1498
0.2590,40.5418,0.1637
0.2592,40.2879,0.1786
0.2592,40.4255,0.1629
0.2595,40.5238,0.2338
0.2595,40.4420,0.1700
0.2606,40.5033,0.1713
0.2609,40.6128,0.1859
0.2614,40.4470,0.2075
0.2616,40.4182,0.2255
0.2617,40.6874,0.2589
0.2617,40.6810,0.2333
0.2618,40.3920,0.2260
0.2618,40.6935,0.2491
0.2620,40.7216,0.2169
0.2630,41.2641,0.5146
0.2632,40.6388,0.1701
0.2636,40.3997,0.1773
0.2639,40.5588,0.1677
0.2640,40.3035,0.2058
0.2641,40.6342,0.3810
0.2642,40.5074,0.2385
0.2646,40.5153,0.1980
0.2646,40.6719,0.2565
0.2658,40.6087,0.2197
0.2658,40.3244,0.2061
0.2664,40.2901,0.2650
0.2670,40.5463,0.2049
0.2679,40.5103,0.2021
0.2682,40.4623,0.2320
0.2686,40.5790,0.1911
0.2686,40.4553,0.2404
0.2689,40.6039,0.2172
0.2702,40.6363,0.1970
0.2702,40.5089,0.1649
0.2706,40.5139,0.2093
0.2709,40.4887,0.1661
0.2714,40.5677,0.1234
0.2728,40.5415,0.1732
0.2735,40.4721,0.2087
0.2746,40.7399,0.2931
0.2751,40.7769,0.2394
0.2752,40.5286,0.2419
0.2759,40.6631,0.2136
0.2763,40.6749,0.1801
0.2767,40.8504,0.2722
0.2778,40.6186,0.2447
0.2778,40.9187,0.1780
0.2794,40.7037,0.1643
0.2799,40.5056,0.1993
0.2800,40.5664,0.1533
0.2806,40.6663,0.1531
0.2813,40.6224,0.1748
0.2821,40.5986,0.1666
0.2827,40.7440,0.2974
0.2834,40.6596,0.1844
0.2841,40.5735,0.1541
0.2845,40.5431,0.1866
0.2845,40.6919,0.2071
0.2848,41.1135,0.3513
0.2856,40.7046,0.1860
0.2859,40.6710,0.1732
0.2867,40.6389,0.2175
0.2873,40.5691,0.2504
0.2876,40.5379,0.2389
0.2878,40.8753,0.2272
0.2881,40.7075,0.1880
0.2884,40.7490,0.1378
0.2885,40.7458,0.1654
0.2889,40.9433,0.2260
0.2890,40.7428,0.2285
0.2891,40.6763,0.1681
0.2891,40.7020,0.2772
0.2895,40.9765,0.2561
0.2900,40.7393,0.2714
0.2901,40.7298,0.2345
0.2905,40.7861,0.2309
0.2912,40.4840,0.2191
0.2919,40.7606,0.1777
0.2920,40.7653,0.1722
0.2922,40.7505,0.4837
0.2922,40.4229,0.2925
0.2925,40.6378,0.2288
0.2926,40.6952,0.2248
0.2929,40.7458,0.1743
0.2930,40.8268,0.2036
0.2937,40.8570,0.2048
0.2950,40.7620,0.1738
0.2958,41.0209,0.3079
0.2959,40.9989,0.1658
0.2965,40.9938,0.3661
0.2969,40.6595,0.2026
0.2970,40.7505,0.2105
0.2985,41.2705,0.2327
0.2986,40.6539,0.2729
0.2989,40.9195,0.2551
0.2993,41.0113,0.3417
0.2995,41.0213,0.1960
0.2995,40.7335,0.1865
0.3002,40.9837,0.1982
0.3003,40.8795,0.2472
0.3009,41.1729,0.2947
0.3014,40.8585,0.1917
0.3015,41.1086,0.2060
0.3025,40.8894,0.2248
0.3030,40.8204,0.2747
0.3035,40.9204,0.1425
0.3037,41.0778,0.1975
0.3040,40.7190,0.2221
0.3041,40.7052,0.1825
0.3048,41.0411,0.2428
0.3049,40.9018,0.1401
0.3053,40.5924,0.3067
0.3054,40.9054,0.1338
0.3055,41.0041,0.2262
0.3058,40.9451,0.1655
0.3065,40.8959,0.2016
0.3068,41.1600,0.2391
0.3069,40.9573,0.1501
0.3082,41.2018,0.1397
0.3083,40.9533,0.2541
0.3088,40.9954,0.1524
0.3092,41.0460,0.2506
0.3094,40.9757,0.2704
0.3095,41.0177,0.3004
0.3096,40.7200,0.2572
0.3105,40.6197,0.3364
0.3106,40.9962,0.2214
0.3109,41.0460,0.1826
0.3114,41.0123,0.1417
0.3118,41.0377,0.2109
0.3120,40.9503,0.1604
0.3126,40.9565,0.1497
0.3127,41.0352,0.2795
0.3127,40.6239,0.2062
0.3130,41.0195,0.2035
0.3130,41.0061,0.1768
0.3139,41.0228,0.2144
0.3145,41.1251,0.1557
0.3151,41.0194,0.2278
0.3152,40.8837,0.2200
0.3159,41.2033,0.2333
0.3159,40.9330,0.2276
0.3162,41.1979,0.2741
0.3178,41.0738,0.1959
0.3180,41.0772,0.1672
0.3182,41.0199,0.1535
0.3185,41.3345,0.3279
0.3190,41.1410,0.1777
0.3190,40.8941,0.2039
0.3210,41.2315,0.2073
0.3210,40.9546,0.1564
0.3212,41.1921,0.2934
0.3221,40.7271,0.1993
0.3222,40.8628,0.1582
0.3222,40.8774,0.1388
0.3228,40.9316,0.2119
0.3245,41.0699,0.1265
0.3255,41.2273,0.1933
0.3256,41.2625,0.2553
0.3258,41.1639,0.2713
0.3258,41.0478,0.1417
0.3263,41.0504,0.1572
0.3280,41.0002,0.1718
0.3284,41.3079,0.3084
0.3285,41.3510,0.2787
0.3285,40.9340,0.2957
0.3287,41.0716,0.1505
0.3287,41.1000,0.1442
0.3287,40.9276,0.2222
0.3291,41.0566,0.1652
0.3294,41.4109,0.3106
0.3295,41.2391,0.1625
0.3297,41.1031,0.1148
0.3300,40.8444,0.2098
0.3305,41.2306,0.1316
0.3306,41.1674,0.2144
0.3306,41.1689,0.2311
0.3309,41.1586,0.2395
0.3309,40.9960,0.2120
0.3310,41.0098,0.1371
0.3315,41.0301,0.2187
0.3315,41.2335,0.2855
0.3315,41.1012,0.1660
0.3319,41.0149,0.1440
0.3324,40.9770,0.1592
0.3330,41.3299,0.2017
0.3335,41.0025,0.1419
0.3335,41.0366,0.1761
0.3345,41.1204,0.2357
0.3350,41.0251,0.1719
0.3351,41.0242,0.1779
0.3367,41.0367,0.1842
0.3375,41.1678,0.2787
0.3375,41.0098,0.2372
0.3376,41.1477,0.1761
0.3378,41.1537,0.2339
0.3382,41.1450,0.2112
0.3385,41.1131,0.2004
0.3390,41.0555,0.3565
0.3406,41.1737,0.1924
0.3410,41.0587,0.1943
0.3411,41.0641,0.2551
0.3417,41.2122,0.3210
0.3445,41.3081,0.1525
0.3445,41.2914,0.2992
0.3449,41.2333,0.1717
0.3455,41.2033,0.2302
0.3460,41.3318,0.1367
0.3470,41.4163,0.3703
0.3472,41.1174,0.2443
0.3488,41.3721,0.2184
0.3491,41.2499,0.1586
0.3491,41.2820,0.2060
0.3493,41.1406,0.1580
0.3494,41.2033,0.1686
0.3495,41.0050,0.2263
0.3495,41.3756,0.1714
0.3495,41.1526,0.2058
0.3497,41.4873,0.2877
0.3502,41.1867,0.1470
0.3506,41.2342,0.1631
0.3510,41.2532,0.1614
0.3515,41.4798,0.2095
0.3515,41.3343,0.1390
0.3537,41.3657,0.1919
0.3552,41.4647,0.2230
0.3577,41.3574,0.2920
0.3580,41.3539,0.2153
0.3584,41.2423,0.2160
0.3585,41.1484,0.2890
0.3591,41.1532,0.3057
0.3591,41.4429,0.1711
0.3595,41.4213,0.1545
0.3602,41.1870,0.1912
0.3603,41.0791,0.2303
0.3609,41.4328,0.1975
0.3615,41.1159,0.2880
0.3628,41.2452,0.2100
0.3633,41.3640,0.2151
0.3650,41.4626,0.2916
0.3662,41.1360,0.2262
0.3666,41.2327,0.1557
0.3671,41.2088,0.1519
0.3679,41.2627,0.1656
0.3680,41.4699,0.1584
0.3684,41.5479,0.3364
0.3686,41.4630,0.3456
0.3696,41.4498,0.2444
0.3699,41.2185,0.2550
0.3702,41.3794,0.1888
0.3705,41.3759,0.1632
0.3705,41.3833,0.1600
0.3706,41.6395,0.2566
0.3706,41.2730,0.2824
0.3706,41.0698,0.1359
0.3710,41.4098,0.3905
0.3714,41.3340,0.1681
0.3715,41.3842,0.1166
0.3715,41.4289,0.1654
0.3735,41.3114,0.1330
0.3744,41.4722,0.2348
0.3768,41.4155,0.1547
0.3781,41.3598,0.2232
0.3785,41.4271,0.1824
0.3799,41.2959,0.2199
0.3800,41.4154,0.1638
0.3806,41.4614,0.1880
0.3809,41.4511,0.2014
0.3813,41.4549,0.2041
0.3815,41.6775,0.2190
0.3819,41.5615,0.1989
0.3825,41.3726,0.2652
0.3829,41.3678,0.2066
0.3840,41.5182,0.2018
0.3860,41.5217,0.1521
0.3867,41.3791,0.2708
0.3874,41.5567,0.2735
0.3878,41.6302,0.2839
0.3890,41.3830,0.1996
0.3895,41.5440,0.1922
0.3926,41.4742,0.2373
0.3951,41.4677,0.2036
0.3971,41.2590,0.1685
0.3994,41.7119,0.2878
0.4005,41.4918,0.1583
0.4022,41.4795,0.1995
0.4029,41.5478,0.2904
0.4037,41.6160,0.2138
0.4046,41.6747,0.1660
0.4048,41.3373,0.2020
0.4055,41.7807,0.1355
0.4065,41.6914,0.1688
0.4090,41.7002,0.2400
0.4092,41.7405,0.3637
0.4094,41.7061,0.2750
0.4095,41.6784,0.1722
0.4100,41.6836,0.2800
0.4112,41.6620,0.3181
0.4114,41.8335,0.2427
0.4116,41.8131,0.1491
0.4127,41.7893,0.3301
0.4166,41.7295,0.1492
0.4186,41.6174,0.2021
0.4194,41.6863,0.1926
0.4194,41.4604,0.2226
0.4196,41.8662,0.2246
0.4197,41.7981,0.2358
0.4200,41.4394,0.2944
0.4204,41.8343,0.3442
0.4209,41.6178,0.1764
0.4209,41.7280,0.2501
0.4220,41.5336,0.2708
0.4225,41.6483,0.2317
0.4225,41.6796,0.2754
0.4235,41.5955,0.1865
0.4236,41.8403,0.4008
0.4240,41.7264,0.1342
0.4246,41.7483,0.1958
0.4257,41.7039,0.1955
0.4260,41.7517,0.1754
0.4270,41.8130,0.2295
0.4270,41.8348,0.1983
0.4279,42.2757,0.2386
0.4286,41.8825,0.4035
0.4290,41.6443,0.1934
0.4290,41.8266,0.2508
0.4298,41.9219,0.1981
0.4302,41.8354,0.1658
0.4349,41.7828,0.1837
0.4355,41.5839,0.1337
0.4368,42.0051,0.1818
0.4376,41.6253,0.1661
0.4378,41.8820,0.3569
0.4389,41.4679,0.2112
0.4389,41.6682,0.2800
0.4394,41.8262,0.2028
0.4401,42.1401,0.4419
0.4407,41.6364,0.1602
0.4415,41.6823,0.1836
0.4425,41.8523,0.1729
0.4426,41.9039,0.1397
0.4436,41.7930,0.1822
0.4439,41.8069,0.2903
0.4476,41.8552,0.2240
0.4489,41.8853,0.2218
0.4489,41.9875,0.2156
0.4507,41.6446,0.1577
0.4511,41.9281,0.2134
0.4516,41.5892,0.2253
0.4516,41.9923,0.1547
0.4516,41.7162,0.3054
0.4522,41.9959,0.3201
0.4533,41.7953,0.2078
0.4535,41.8863,0.1441
0.4546,41.7873,0.2092
0.4548,41.8839,0.2841
0.4589,41.9679,0.2522
0.4606,42.0021,0.1909
0.4610,42.0162,0.2303
0.4616,41.9839,0.1384
0.4664,42.3424,0.3965
0.4665,42.0480,0.1359
0.4684,41.9733,0.2061
0.4689,41.7631,0.2340
0.4704,42.2151,0.4045
0.4707,42.0135,0.1806
0.4716,41.9798,0.2109
0.4720,42.0374,0.2569
0.4757,41.9380,0.1771
0.4779,42.2269,0.2283
0.4794,41.8695,0.2039
0.4795,42.0107,0.1990
0.4799,41.8956,0.2378
0.4806,42.0041,0.1604
0.4807,41.9748,0.1392
0.4816,42.3055,0.2109
0.4889,42.0842,0.1997
0.4924,42.2783,0.3354
0.4950,42.0821,0.1650
0.4957,42.1453,0.1209
0.4958,42.0817,0.1539
0.4974,42.1268,0.2259
0.5007,42.2570,0.2538
0.5010,42.1165,0.2831
0.5028,42.1610,0.2185
0.5029,42.0703,0.3129
0.5031,42.1484,0.3113
0.5032,42.1444,0.2287
0.5059,42.0790,0.1667
0.5062,42.1043,0.1517
0.5073,42.2358,0.1810
0.5074,42.2419,0.2888
0.5083,42.0193,0.1843
0.5102,42.0945,0.1444
0.5110,42.0583,0.2391
0.5117,42.3885,0.2273
0.5139,42.2567,0.3597
0.5144,42.2259,0.1962
0.5147,42.3259,0.4029
0.5173,42.0932,0.1904
0.5188,42.1949,0.2504
0.5189,42.1824,0.2096
0.5194,42.2438,0.3151
0.5197,42.2905,0.1965
0.5227,42.3496,0.2739
0.5240,42.1774,0.3692
0.5262,42.1702,0.2233
0.5286,42.0855,0.1888
0.5294,42.2913,0.1410
0.5310,41.8802,0.2343
0.5311,42.5109,0.2893
0.5312,42.5253,0.3809
0.5323,41.9821,0.2220
0.5327,42.2472,0.2944
0.5337,42.1649,0.2738
0.5344,42.1433,0.2253
0.5353,42.3205,0.2047
0.5357,42.2134,0.2095
0.5394,42.3338,0.2445
0.5410,42.2791,0.2334
0.5415,42.5300,0.2425
0.5455,42.5633,0.1914
0.5483,42.0235,0.3632
0.5488,42.1695,0.3786
0.5502,42.3253,0.1959
0.5503,42.3728,0.2085
0.5505,42.4104,0.3763
0.5527,42.1938,0.2442
0.5538,42.4900,0.2071
0.5538,42.0827,0.1774
0.5578,42.4389,0.1952
0.5588,42.7331,0.3833
0.5588,42.2975,0.3562
0.5618,42.2937,0.2278
0.5627,42.6016,0.2652
0.5628,42.4296,0.2347
0.5644,42.3928,0.2211
0.5644,42.4881,0.2076
0.5644,42.3969,0.2965
0.5648,42.4873,0.1928
0.5688,42.2407,0.2623
0.5754,42.1912,0.4529
0.5758,42.5915,0.2132
0.5762,42.4887,0.2021
0.5767,42.4263,0.1668
0.5774,42.6450,0.2909
0.5783,42.4174,0.2449
0.5783,42.4512,0.2412
0.5788,42.4272,0.2144
0.5789,42.5317,0.2317
0.5797,42.3923,0.2312
0.5807,42.5730,0.2625
0.5808,42.7061,0.2398
0.5830,42.5408,0.1680
0.5833,42.7974,0.1862
0.5838,42.4765,0.1985
0.5838,42.6489,0.1848
0.5839,42.4199,0.1994
0.5858,42.7070,0.3730
0.5873,42.6241,0.2030
0.5888,42.5021,0.2200
0.5903,42.5156,0.2483
0.5918,42.4508,0.2558
0.6007,42.6116,0.2788
0.6016,42.7562,0.3948
0.6033,42.7503,0.2001
0.6063,42.6158,0.2751
0.6083,42.5904,0.2284
0.6088,42.4282,0.3503
0.6088,42.6179,0.2308
0.6098,42.6876,0.3215
0.6107,42.6686,0.1842
0.6113,42.9049,0.2477
0.6118,42.7010,0.1644
0.6158,42.7085,0.3473
0.6188,42.7164,0.3888
0.6194,42.6948,0.2753
0.6198,42.7557,0.1549
0.6207,42.6988,0.2681
0.6218,42.5894,0.2756
0.6253,42.6577,0.2151
0.6273,42.5850,0.2440
0.6308,42.6632,0.2029
0.6318,42.3111,0.3270
0.6323,42.8493,0.3237
0.6340,42.5972,0.1476
0.6378,42.5298,0.4429
0.6379,42.8637,0.3108
0.6382,42.6594,0.3675
0.6387,42.7804,0.2616
0.6393,42.7900,0.1718
0.6419,42.8476,0.2569
0.6431,42.3609,0.4078
0.6437,42.7992,0.3098
0.6437,42.8034,0.3165
0.6477,42.8190,0.2884
0.6485,43.0397,0.2724
0.6487,42.7335,0.3107
0.6496,42.7805,0.1496
0.6621,42.9793,0.2798
0.6647,42.8698,0.2340
0.6707,43.0677,0.2748
0.6777,43.2251,0.3118
0.6819,42.8376,0.2394
0.6837,43.1716,0.4077
0.6852,43.0166,0.3662
0.6887,42.8137,0.2265
0.6894,42.8535,0.1568
0.6894,43.0444,0.2720
0.6907,42.9143,0.4259
0.6932,42.9162,0.3180
0.6972,42.9692,0.2127
0.6982,42.9671,0.3428
0.6992,42.9402,0.3385
0.6992,43.0691,0.2153
0.6993,43.1107,0.1559
0.6999,43.1147,0.2954
0.7007,42.9170,0.2232
0.7012,43.0968,0.2616
0.7019,42.8962,0.4627
0.7019,43.0433,0.2528
0.7157,42.9944,0.2459
0.7187,42.8739,0.1884
0.7197,43.1638,0.2045
0.7197,42.9700,0.3422
0.7202,43.1612,0.2432
0.7207,43.0459,0.3052
0.7267,43.0811,0.2484
0.7277,43.0080,0.2571
0.7287,43.0050,0.2835
0.7301,42.9186,0.3220
0.7316,43.1799,0.1964
0.7337,42.9845,0.1959
0.7340,43.2200,0.3883
0.7350,43.2537,0.2246
0.7357,43.1807,0.2571
0.7360,43.1675,0.4256
0.7368,42.9920,0.2149
0.7420,43.4813,0.3251
0.7428,43.0825,0.3272
0.7457,43.1675,0.1952
0.7461,42.9817,0.2547
0.7491,42.9396,0.2625
0.7493,43.1772,0.1632
0.7507,42.9012,0.3187
0.7590,43.2469,0.2332
0.7608,43.0667,0.2012
0.7611,43.1767,0.2366
0.7617,43.1310,0.2399
0.7657,43.2369,0.2254
0.7667,43.4224,0.2502
0.7667,43.3623,0.2703
0.7671,43.5587,0.2572
0.7687,43.2929,0.3117
0.7693,43.2168,0.1627
0.7731,43.3568,0.2951
0.7793,43.0395,0.3111
0.7881,43.3042,0.2320
0.7891,43.3837,0.2712
0.7893,43.1995,0.1656
0.7966,42.9026,0.3721
0.7986,43.4338,0.2881
0.8398,43.3600,0.2118
0.8398,43.2012,0.3904
0.8548,43.6168,0.2999
0.9359,43.5331,0.2399
0.9742,44.1111,0.2015
1.0124,44.1177,0.3671
1.0199,44.2757,0.2259
1.0209,43.9706,0.4755
1.0279,44.5364,0.3534
1.0482,44.4229,0.4888
1.1209,44.4405,0.2236
1.2323,44.3207,0.6105
1.2360,44.9050,0.2737
1.2991,44.8641,0.2753
1.3041,44.7206,0.3165
1.3061,45.0197,0.4452
1.3132,44.7867,0.3163
1.3291,44.8745,0.2383
1.3410,44.7541,0.3064
1.3514,44.5492,0.3185
1.3561,44.8094,0.2383
1.3910,44.7944,0.3743
1.4163,44.4579,0.7358
1.5429,45.0902,0.3710
1.5490,45.2930,0.2338
1.6151,45.1595,0.3330
1.6971,45.2863,0.3805
1.8012,45.4865,0.2820
1.9117,45.4233,0.3586
2.2614,46.1828,0.2813
