zHD,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR_DIAG,D_L,D_L MAX,D_L MIN,SD
0.0068,0.9933,32.2048,0.3480,27.6032,32.4004,23.5164,4.4420
0.0069,0.9931,32.4405,0.4396,30.7681,37.6727,25.1289,6.2719
0.0071,0.9930,32.3193,0.3256,29.0978,33.8047,25.0463,4.3792
0.0071,0.9930,32.3327,0.3483,29.2779,34.3719,24.9389,4.7165
0.0071,0.9930,32.3221,0.3227,29.1353,33.8027,25.1124,4.3451
0.0072,0.9929,32.4423,0.3003,30.7936,35.3608,26.8163,4.2723
0.0072,0.9929,32.4642,0.3003,31.1057,35.7185,27.0886,4.3150
0.0075,0.9926,32.7943,0.2891,36.2126,41.3701,31.6981,4.8360
0.0075,0.9926,32.7423,0.2948,35.3557,40.4960,30.8680,4.8140
0.0075,0.9926,32.7685,0.2924,35.7849,40.9432,31.2765,4.8334
0.0075,0.9926,32.3312,0.3738,29.2577,34.7543,24.6304,5.0620
0.0075,0.9926,32.2998,0.3967,28.8377,34.6171,24.0231,5.2970
0.0080,0.9921,32.6418,0.3627,33.7567,39.8937,28.5638,5.6649
0.0081,0.9919,32.7164,0.3170,34.9365,40.4284,30.1907,5.1188
0.0081,0.9919,32.6151,0.3175,33.3442,38.5933,28.8090,4.8921
0.0081,0.9919,32.7092,0.3676,34.8209,41.2431,29.3988,5.9221
0.0082,0.9919,32.3711,0.3719,29.8003,35.3676,25.1093,5.1291
0.0082,0.9919,32.7434,0.2801,35.3737,40.2448,31.0921,4.5763
0.0082,0.9919,32.6707,0.2870,34.2090,39.0423,29.9740,4.5341
0.0082,0.9919,32.4455,0.4908,30.8390,38.6596,24.6004,7.0296
0.0082,0.9919,32.4840,0.3427,31.3906,36.7564,26.8082,4.9741
0.0082,0.9919,33.2138,0.4628,43.9299,54.3659,35.4971,9.4344
0.0084,0.9917,32.5210,0.4656,31.9301,39.5660,25.7678,6.8991
0.0084,0.9917,32.6922,0.4849,34.5494,43.1930,27.6355,7.7787
0.0086,0.9915,32.6928,0.3592,34.5589,40.7759,29.2898,5.7431
0.0086,0.9915,32.8520,0.3180,37.1878,43.0533,32.1213,5.4660
0.0086,0.9915,32.7527,0.2676,35.5255,40.1843,31.4068,4.3887
0.0086,0.9915,32.7223,0.3834,35.0316,41.7971,29.3612,6.2180
0.0086,0.9914,32.3744,0.3383,29.8456,34.8775,25.5397,4.6689
0.0086,0.9914,32.3945,0.3313,30.1231,35.0880,25.8607,4.6137
0.0086,0.9914,32.3350,0.3379,29.3089,34.2433,25.0856,4.5789
0.0086,0.9914,32.4198,0.4252,30.4761,37.0684,25.0563,6.0061
0.0088,0.9912,32.8616,0.3270,37.3525,43.4237,32.1302,5.6468
0.0091,0.9910,32.7990,0.3689,36.2911,43.0102,30.6216,6.1943
0.0091,0.9910,32.7498,0.4095,35.4781,42.8415,29.3802,6.7307
0.0093,0.9908,32.8914,0.2864,37.8687,43.2081,33.1891,5.0095
0.0093,0.9908,32.8973,0.2829,37.9717,43.2547,33.3339,4.9604
0.0093,0.9908,32.9159,0.2855,38.2983,43.6798,33.5799,5.0500
0.0094,0.9907,32.3353,0.4014,29.3130,35.2641,24.3661,5.4490
0.0095,0.9906,33.0399,0.2690,40.5490,45.8961,35.8248,5.0357
0.0095,0.9906,33.2135,0.2536,43.9238,49.3658,39.0818,5.1420
0.0095,0.9906,33.2309,0.2519,44.2772,49.7234,39.4275,5.1480
0.0095,0.9906,33.2469,0.2549,44.6046,50.1599,39.6646,5.2477
0.0096,0.9905,32.9010,0.3095,38.0365,43.8641,32.9830,5.4406
0.0096,0.9905,32.8654,0.3345,37.4180,43.6493,32.0762,5.7866
0.0097,0.9904,32.8029,0.3579,36.3563,42.8704,30.8320,6.0192
0.0097,0.9904,32.9165,0.3728,38.3089,45.4848,32.2652,6.6098
0.0099,0.9902,33.4753,0.3729,49.5519,58.8350,41.7334,8.5508
0.0100,0.9901,32.6457,0.4091,33.8174,40.8280,28.0106,6.4087
0.0100,0.9901,32.7458,0.3603,35.4128,41.8041,29.9986,5.9028
0.0100,0.9901,32.9015,0.3340,38.0452,44.3712,32.6211,5.8750
0.0102,0.9899,32.7794,0.3485,35.9650,42.2269,30.6317,5.7976
0.0102,0.9899,32.9182,0.3652,38.3389,45.3612,32.4038,6.4787
0.0102,0.9899,32.9674,0.3419,39.2175,45.9045,33.5046,6.2000
0.0103,0.9898,33.3378,0.3063,46.5115,53.5573,40.3925,6.5824
0.0103,0.9898,33.2253,0.2991,44.1631,50.6847,38.4807,6.1020
0.0103,0.9898,33.2788,0.2480,45.2647,50.7400,40.3803,5.1798
0.0104,0.9897,33.1236,0.3172,42.1425,48.7714,36.4145,6.1784
0.0104,0.9897,33.0869,0.3439,41.4362,48.5471,35.3669,6.5901
0.0106,0.9895,33.3806,0.3090,47.4373,54.6917,41.1451,6.7733
0.0106,0.9895,33.2931,0.2746,45.5638,51.7052,40.1519,5.7766
0.0107,0.9894,33.1081,0.3647,41.8427,49.4941,35.3742,7.0600
0.0108,0.9893,33.0683,0.3240,41.0828,47.6939,35.3881,6.1529
0.0108,0.9893,33.1809,0.3780,43.2693,51.4960,36.3568,7.5696
0.0110,0.9892,33.5709,0.3149,51.7821,59.8621,44.7928,7.5346
0.0111,0.9890,33.7337,0.3425,55.8136,65.3488,47.6697,8.8395
0.0111,0.9890,33.6369,0.2952,53.3802,61.1539,46.5946,7.2796
0.0112,0.9889,33.8347,0.3539,58.4709,68.8211,49.6773,9.5719
0.0112,0.9889,33.4336,0.2834,48.6094,55.3866,42.6614,6.3626
0.0112,0.9889,33.4947,0.3252,49.9965,58.0730,43.0433,7.5149
0.0116,0.9886,33.5833,0.2812,52.0787,59.2780,45.7537,6.7622
0.0120,0.9882,33.4974,0.3015,50.0587,57.5149,43.5692,6.9729
0.0121,0.9880,33.8783,0.3464,59.6568,69.9739,50.8609,9.5565
0.0122,0.9879,33.7023,0.2667,55.0123,62.2004,48.6549,6.7727
0.0123,0.9878,33.7403,0.2541,55.9835,62.9342,49.8004,6.5669
0.0125,0.9877,33.8286,0.2651,58.3069,65.8784,51.6056,7.1364
0.0126,0.9876,33.7080,0.2408,55.1569,61.6243,49.3683,6.1280
0.0126,0.9876,33.7246,0.2501,55.5802,62.3648,49.5337,6.4156
0.0126,0.9876,33.5874,0.2601,52.1771,58.8155,46.2880,6.2638
0.0126,0.9876,33.5178,0.2662,50.5312,57.1213,44.7015,6.2099
0.0128,0.9874,33.7492,0.4167,56.2134,68.1038,46.3990,10.8524
0.0128,0.9873,33.6365,0.2874,53.3703,60.9222,46.7546,7.0838
0.0128,0.9873,33.5028,0.3311,50.1834,58.4500,43.0859,7.6821
0.0130,0.9871,33.7355,0.2398,55.8599,62.3816,50.0200,6.1808
0.0130,0.9871,33.7607,0.2872,56.5119,64.5036,49.5104,7.4966
0.0130,0.9871,33.5752,0.2926,51.8848,59.3681,45.3448,7.0116
0.0130,0.9871,33.5673,0.2848,51.6964,58.9410,45.3422,6.7994
0.0131,0.9870,33.5200,0.2735,50.5825,57.3730,44.5957,6.3886
0.0131,0.9870,33.4717,0.2616,49.4698,55.8033,43.8551,5.9741
0.0133,0.9869,33.9682,0.3037,62.1785,71.5119,54.0632,8.7244
0.0133,0.9869,33.9846,0.2994,62.6498,71.9117,54.5808,8.6655
0.0133,0.9869,33.9247,0.3046,60.9453,70.1231,52.9686,8.5772
0.0138,0.9864,33.7970,0.2779,57.4645,65.3087,50.5626,7.3731
0.0138,0.9864,33.7683,0.2328,56.7100,63.1271,50.9453,6.0909
0.0138,0.9864,33.7720,0.2358,56.8068,63.3215,50.9623,6.1796
0.0138,0.9864,33.7649,0.2888,56.6213,64.6753,49.5703,7.5525
0.0139,0.9863,33.6741,0.3454,54.3025,63.6639,46.3177,8.6731
0.0139,0.9863,33.6968,0.2335,54.8732,61.1035,49.2781,5.9127
0.0139,0.9863,33.8053,0.2888,57.6846,65.8902,50.5009,7.6946
0.0139,0.9863,33.6651,0.2962,54.0779,61.9814,47.1822,7.3996
0.0141,0.9861,33.8206,0.2509,58.0925,65.2071,51.7542,6.7264
0.0142,0.9860,33.8444,0.2655,58.7327,66.3709,51.9735,7.1987
0.0144,0.9858,34.0187,0.3072,63.6414,73.3126,55.2460,9.0333
0.0144,0.9858,34.0249,0.3523,63.8234,75.0667,54.2641,10.4013
0.0144,0.9858,34.3366,0.3707,73.6750,87.3903,62.1122,12.6390
0.0144,0.9858,34.1781,0.3969,68.4889,82.2246,57.0477,12.5884
0.0144,0.9858,34.2520,0.3972,70.8598,85.0838,59.0137,13.0351
0.0145,0.9857,33.9078,0.2405,60.4728,67.5559,54.1324,6.7117
0.0145,0.9857,34.1727,0.3650,68.3188,80.8250,57.7476,11.5387
0.0145,0.9857,33.7526,0.2163,56.3015,62.1985,50.9636,5.6175
0.0146,0.9856,33.8826,0.2493,59.7751,67.0476,53.2914,6.8781
0.0146,0.9856,33.9253,0.2439,60.9621,68.2096,54.4847,6.8625
0.0146,0.9856,33.7553,0.3905,56.3716,67.4778,47.0933,10.1923
0.0146,0.9856,33.7189,0.3928,55.4345,66.4269,46.2611,10.0829
0.0147,0.9855,33.8916,0.2407,60.0233,67.0593,53.7256,6.6668
0.0147,0.9855,33.7894,0.3974,57.2638,68.7623,47.6881,10.5371
0.0148,0.9854,34.0109,0.2702,63.4132,71.8165,55.9932,7.9116
0.0149,0.9853,34.1902,0.3727,68.8716,81.7664,58.0103,11.8780
0.0149,0.9853,33.8524,0.2776,58.9495,66.9872,51.8762,7.5555
0.0150,0.9852,33.9740,0.2296,62.3448,69.2967,56.0902,6.6033
0.0150,0.9852,33.9261,0.2317,60.9846,67.8518,54.8123,6.5197
0.0152,0.9851,33.8877,0.2950,59.9156,68.6336,52.3050,8.1643
0.0152,0.9850,34.1793,0.2668,68.5267,77.4844,60.6047,8.4398
0.0153,0.9850,33.7706,0.3022,56.7701,65.2466,49.3949,7.9259
0.0153,0.9849,34.0334,0.3443,64.0737,75.0829,54.6788,10.2020
0.0154,0.9848,34.3426,0.3729,73.8788,87.7198,62.2218,12.7490
0.0154,0.9848,34.0744,0.3149,65.2950,75.4836,56.4817,9.5009
0.0155,0.9848,34.0331,0.2265,64.0649,71.1071,57.7201,6.6935
0.0155,0.9847,34.2732,0.3404,71.5550,83.6974,61.1742,11.2616
0.0155,0.9847,34.2581,0.2725,71.0591,80.5611,62.6779,8.9416
0.0155,0.9847,34.2112,0.2581,69.5409,78.3167,61.7484,8.2841
0.0155,0.9847,33.9994,0.2863,63.0783,71.9688,55.2861,8.3413
0.0155,0.9847,33.8852,0.3139,59.8467,69.1554,51.7909,8.6823
0.0156,0.9847,33.7902,0.2906,57.2849,65.4870,50.1100,7.6885
0.0156,0.9847,33.8072,0.2904,57.7351,65.9962,50.5081,7.7441
0.0156,0.9846,34.1732,0.2644,68.3345,77.1814,60.5017,8.3399
0.0156,0.9846,34.1302,0.3343,66.9946,78.1451,57.4352,10.3550
0.0157,0.9846,34.3317,0.2787,73.5089,83.5762,64.6543,9.4609
0.0158,0.9845,34.1657,0.2869,68.0989,77.7170,59.6711,9.0230
0.0158,0.9845,33.9986,0.2199,63.0551,69.7762,56.9813,6.3974
0.0158,0.9845,34.0697,0.2904,65.1538,74.4760,56.9985,8.7387
0.0158,0.9844,33.9926,0.2393,62.8811,70.2066,56.3199,6.9433
0.0158,0.9844,33.9004,0.2190,60.2671,66.6621,54.4855,6.0883
0.0159,0.9844,34.3916,0.2703,75.5649,85.5831,66.7193,9.4319
0.0159,0.9844,34.0287,0.2248,63.9352,70.9096,57.6468,6.6314
0.0159,0.9843,34.1663,0.2429,68.1177,76.1796,60.9090,7.6353
0.0159,0.9843,34.1323,0.2095,67.0595,73.8506,60.8928,6.4789
0.0159,0.9843,34.0329,0.2725,64.0590,72.6243,56.5038,8.0603
0.0160,0.9842,34.1062,0.2816,66.2583,75.4321,58.2001,8.6160
0.0165,0.9837,34.4137,0.3464,76.3379,89.5394,65.0828,12.2283
0.0165,0.9837,33.9999,0.3347,63.0928,73.6081,54.0797,9.7642
0.0166,0.9837,34.1608,0.2181,67.9454,75.1248,61.4521,6.8364
0.0166,0.9837,33.9726,0.4153,62.3046,75.4355,51.4593,11.9881
0.0166,0.9837,34.2793,0.2619,71.7563,80.9549,63.6029,8.6760
0.0167,0.9836,34.3408,0.1980,73.8176,80.8657,67.3838,6.7410
0.0167,0.9836,33.8985,0.2454,60.2143,67.4181,53.7803,6.8189
0.0168,0.9835,34.1679,0.2465,68.1679,76.3616,60.8534,7.7541
0.0168,0.9835,34.4649,0.3583,78.1592,92.1818,66.2696,12.9561
0.0168,0.9835,34.5341,0.3416,80.6901,94.4374,68.9440,12.7467
0.0168,0.9835,33.9673,0.2844,62.1527,70.8503,54.5228,8.1637
0.0169,0.9834,33.8410,0.2893,58.6408,66.9981,51.3260,7.8360
0.0169,0.9834,33.8975,0.2646,60.1866,67.9849,53.2829,7.3510
0.0169,0.9834,34.4894,0.3103,79.0460,91.1891,68.5200,11.3345
0.0170,0.9833,34.3409,0.2284,73.8210,82.0082,66.4512,7.7785
0.0170,0.9833,34.0755,0.2978,65.3281,74.9313,56.9557,8.9878
0.0171,0.9832,34.1973,0.2145,69.0971,76.2698,62.5990,6.8354
0.0172,0.9831,34.0220,0.3090,63.7382,73.4851,55.2842,9.1004
0.0172,0.9831,34.2003,0.3253,69.1927,80.3759,59.5654,10.4052
